book_title,author,ratings,avg_rating,book_image,book_url
Johnny One-Eye: A Tale of the American Revolution,Jerome Charyn,358,3.31,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1348275791i/1002727.jpg,https://www.goodreads.com/book/show/1002727.Johnny_One_Eye
"How We Choose to Be Happy: The 9 Choices of Extremely Happy People--Their Secrets, Their Stories",Rick Foster,495,4.00,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1309206378i/100284.jpg,https://www.goodreads.com/book/show/100284.How_We_Choose_to_Be_Happy
The Magic Goes Away,Larry Niven,"1,788",3.67,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1439688684i/1002736.jpg,https://www.goodreads.com/book/show/1002736.The_Magic_Goes_Away
A Short Guide to a Happy Life,Anna Quindlen,"9,712",3.96,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1320522593i/100286.jpg,https://www.goodreads.com/book/show/100286.A_Short_Guide_to_a_Happy_Life
"Kilala Princess, Vol. 02",Rika Tanaka,569,4.05,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1372405872i/1003034.jpg,https://www.goodreads.com/book/show/1003034.Kilala_Princess_Vol_02
Sword of Vengeance,Chris Wraight,135,4.09,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1332472007i/10030720.jpg,https://www.goodreads.com/book/show/10030720-sword-of-vengeance
The Wall,Jean-Paul Sartre,"26,093",4.06,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1348089757i/10031.jpg,https://www.goodreads.com/book/show/10031.The_Wall
The Paradox Men,Charles L. Harness,365,3.66,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1425527149i/1003105.jpg,https://www.goodreads.com/book/show/1003105.The_Paradox_Men
The Marvels Project: Birth of the Super Heroes,Ed Brubaker,859,3.87,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1392091613i/10031242.jpg,https://www.goodreads.com/book/show/10031242-the-marvels-project
Nicholas: The Epic Journey from Saint to Santa Claus,Jeremy Seal,77,3.17,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1312044094i/1003151.jpg,https://www.goodreads.com/book/show/1003151.Nicholas
Magdalena,Cecilia Manguerra Brainard,161,4.02,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1348512228i/1003158.jpg,https://www.goodreads.com/book/show/1003158.Magdalena
The Emperor's Edge,Lindsay Buroker,"15,457",4.05,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1327954140i/10031259.jpg,https://www.goodreads.com/book/show/10031259-the-emperor-s-edge
"Happy Birthday, Kit: A Springtime Story",Valerie Tripp,"2,411",4.07,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1347282460i/100317.jpg,https://www.goodreads.com/book/show/100317.Happy_Birthday_Kit
A Shore Thing,"Nicole ""Snooki"" Polizzi","1,959",3.29,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1294516860i/10031701.jpg,https://www.goodreads.com/book/show/10031701-a-shore-thing
The Nicole Snooki Polizzi Handbook - Everything You Need to Know about Snooki,Iris Damico,19,2.26,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1348819291i/10031702.jpg,https://www.goodreads.com/book/show/10031702-the-nicole-snooki-polizzi-handbook---everything-you-need-to-know-about-s
Das lässt sich ändern,Birgit Vanderbeke,144,3.45,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1371755888i/10031760.jpg,https://www.goodreads.com/book/show/10031760-das-l-sst-sich-ndern
The Battle of Chibi,Hock G. Tjoa,45,4.09,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1355846070i/10032057.jpg,https://www.goodreads.com/book/show/10032057-the-battle-of-chibi
