list_name,list_link
Best Teen Vampire Fiction,https://www.goodreads.com/list/show/616.Best_Teen_Vampire_Fiction
Best YA/New Adult Contemporary Romance,https://www.goodreads.com/list/show/29836.Best_YA_New_Adult_Contemporary_Romance
Books With Heroes/Heroines Who Are Assassins,https://www.goodreads.com/list/show/2669.Books_With_Heroes_Heroines_Who_Are_Assassins
Can't Wait Books of 2018,https://www.goodreads.com/list/show/102382.Can_t_Wait_Books_of_2018
"The ""Can't Wait"" Books of 2016",https://www.goodreads.com/list/show/35266.The_Can_t_Wait_Books_of_2016
Best Literary Mysteries,https://www.goodreads.com/list/show/914.Best_Literary_Mysteries
Favorite Travel Books,https://www.goodreads.com/list/show/633.Favorite_Travel_Books
Best Science Fiction Ever Written.,https://www.goodreads.com/list/show/164451.Best_Science_Fiction_Ever_Written_
Disappointing Books,https://www.goodreads.com/list/show/55.Disappointing_Books
Must Read Classics,https://www.goodreads.com/list/show/449.Must_Read_Classics
Best Historical Mystery,https://www.goodreads.com/list/show/112.Best_Historical_Mystery
Most Interesting World,https://www.goodreads.com/list/show/32774.Most_Interesting_World
Everyone's Read It But Me,https://www.goodreads.com/list/show/674.Everyone_s_Read_It_But_Me
Lesser Known Authors,https://www.goodreads.com/list/show/1950.Lesser_Known_Authors
Best Steampunk Books,https://www.goodreads.com/list/show/618.Best_Steampunk_Books
Hidden Gems: YA-Fantasy Novels,https://www.goodreads.com/list/show/642.Hidden_Gems_YA_Fantasy_Novels
The Best Time-Travel Romance Novels,https://www.goodreads.com/list/show/421.The_Best_Time_Travel_Romance_Novels
Must Read Non-Fiction,https://www.goodreads.com/list/show/735.Must_Read_Non_Fiction
Best Mafia/Mob Romance Books,https://www.goodreads.com/list/show/20862.Best_Mafia_Mob_Romance_Books
Zombies!,https://www.goodreads.com/list/show/933.Zombies_
Best Beach Reads 2013,https://www.goodreads.com/list/show/35381.Best_Beach_Reads_2013
Most Anticipated Romances of 2016,https://www.goodreads.com/list/show/93314.Most_Anticipated_Romances_of_2016
Beautiful Book Covers of 2011,https://www.goodreads.com/list/show/5512.Beautiful_Book_Covers_of_2011
"The ""Can't Wait"" Books of 2017",https://www.goodreads.com/list/show/102350.The_Can_t_Wait_Books_of_2017
New Adult Literature,https://www.goodreads.com/list/show/9525.New_Adult_Literature
Romance Debuts 2013,https://www.goodreads.com/list/show/40930.Romance_Debuts_2013
Favorite Gay Couples,https://www.goodreads.com/list/show/5547.Favorite_Gay_Couples
Best Books of the Decade: 2020's,https://www.goodreads.com/list/show/143500.Best_Books_of_the_Decade_2020_s
TO DIE FOR 2012 - 2013 STAND-ALONES,https://www.goodreads.com/list/show/18871.TO_DIE_FOR_2012_2013_STAND_ALONES
Best Gothic Books of All Time,https://www.goodreads.com/list/show/1230.Best_Gothic_Books_of_All_Time
Books With a Goodreads Average Rating of 4.5 and above and With At Least 100 Ratings,https://www.goodreads.com/list/show/10198.Books_With_a_Goodreads_Average_Rating_of_4_5_and_above_and_With_At_Least_100_Ratings
Best Manga Book Ever,https://www.goodreads.com/list/show/489._Best_Manga_Book_Ever
Indie Books - Paranormal Fiction,https://www.goodreads.com/list/show/5974.Indie_Books_Paranormal_Fiction
Most Depressing Book of All Time,https://www.goodreads.com/list/show/1154.Most_Depressing_Book_of_All_Time
Goodreads Choice Awards 2021 (eligible for write-in only),https://www.goodreads.com/list/show/156769.Goodreads_Choice_Awards_2021_eligible_for_write_in_only_
The Best Paranormal/Fantasy/Science Fiction  Books,https://www.goodreads.com/list/show/5392.The_Best_Paranormal_Fantasy_Science_Fiction_Books
Excellent Space Opera,https://www.goodreads.com/list/show/1127.Excellent_Space_Opera
Top 100 Middle School Must-Reads,https://www.goodreads.com/list/show/1606.Top_100_Middle_School_Must_Reads
Causes of Ugly Crying,https://www.goodreads.com/list/show/44459.Causes_of_Ugly_Crying
Best falling in love with a millionaire/billionaire/king/wealthy man,https://www.goodreads.com/list/show/24895.Best_falling_in_love_with_a_millionaire_billionaire_king_wealthy_man
Seasonal Reading Challenge Recommended Books,https://www.goodreads.com/list/show/6534.Seasonal_Reading_Challenge_Recommended_Books
Best Gay Fiction,https://www.goodreads.com/list/show/445.Best_Gay_Fiction
Best boy hates girl then loves her books,https://www.goodreads.com/list/show/17819.Best_boy_hates_girl_then_loves_her_books
Recommended Historical Fiction,https://www.goodreads.com/list/show/1371.Recommended_Historical_Fiction
Best of Stephen King,https://www.goodreads.com/list/show/309.Best_of_Stephen_King
Best Science Books - Non-Fiction Only,https://www.goodreads.com/list/show/692.Best_Science_Books_Non_Fiction_Only
